id,startTime,origin,destination,totalPower,graph,minimumCapacity,chargeLevelInterval,optimizedCost,optimizedCostDuration,optimizedDuration,optimizedDurationFinancialCost,endTime,error
496e960acc1,1.685E+12,"{""latitude"":57.59202478129049,""longitude"":14.113724406237223}","{""latitude"":56.75066603933689,""longitude"":14.381167107397772}",14038.03914,,43,50,0,7039.8,7039.8,0,1.685E+12,
9b6e25b8b68,1.68457E+12,"{""latitude"":59.06062550393865,""longitude"":15.933374312674124}","{""latitude"":58.18370764912475,""longitude"":16.314423944471788}",14426.60034,,43,50,0,9014.1,9014.1,0,1.68457E+12,
fce72388876,1.68499E+12,"{""latitude"":57.54032195962,""longitude"":14.01958731986969}","{""latitude"":58.492329595363124,""longitude"":14.076034851280326}",14829.1457,,43,50,0,8747.2,8747.2,0,1.68499E+12,
c437bcd03a3,1.68451E+12,"{""latitude"":56.92963275498034,""longitude"":13.636737715518063}","{""latitude"":56.0831908862089,""longitude"":13.859255021178146}",14848.16533,,43,50,0,8892.3,8892.3,0,1.68451E+12,
db77e2ab486,1.68491E+12,"{""latitude"":58.22950288707629,""longitude"":14.45716227047999}","{""latitude"":58.22168820258259,""longitude"":14.044667082809433}",15244.20824,,43,50,0,8219.3,8219.3,0,1.68491E+12,
8d75b225542,1.68457E+12,"{""latitude"":58.5797197980025,""longitude"":11.799748604672406}","{""latitude"":59.00872002462573,""longitude"":13.51381473447483}",15246.02841,,43,50,0,11187.3,11187.3,0,1.68457E+12,
9e3e050682e,1.6849E+12,"{""latitude"":59.80840699268551,""longitude"":13.648664364569637}","{""latitude"":59.11149579382188,""longitude"":14.930883095049438}",15499.18664,,43,50,0,9300.9,9300.9,0,1.6849E+12,
d182b7d3761,1.68514E+12,"{""latitude"":58.31777578822775,""longitude"":15.774154214661294}","{""latitude"":59.11180915766729,""longitude"":14.602637072793627}",15997.33082,,43,50,0,9421.8,9421.8,0,1.68514E+12,
53a716ad952,1.68503E+12,"{""latitude"":57.76777120613942,""longitude"":13.333138060995658}","{""latitude"":58.30768580017959,""longitude"":14.540433147127965}",16095.12394,,43,50,0,7203.5,7203.5,0,1.68503E+12,
89d6fe974e4,1.68453E+12,"{""latitude"":59.40533605245715,""longitude"":12.285694176420428}","{""latitude"":59.53639326932574,""longitude"":14.061826320683263}",16225.4814,,43,50,0,8638.4,8638.4,0,1.68453E+12,
6b67e3a80a0,1.6849E+12,"{""latitude"":57.81332407519287,""longitude"":15.128514667090446}","{""latitude"":56.841059603876204,""longitude"":15.833164081142463}",16295.87911,,43,50,0,10025.2,10025.2,0,1.6849E+12,
a38ea2f8880,1.68513E+12,"{""latitude"":60.03915427159126,""longitude"":17.011673984352363}","{""latitude"":59.627437962312676,""longitude"":15.464694416784967}",16767.89691,,43,50,0,9928.4,9928.4,0,1.68513E+12,
0fbf2388986,1.68489E+12,"{""latitude"":59.14079366345149,""longitude"":12.650258969433422}","{""latitude"":59.345130921835434,""longitude"":14.55663785775567}",16911.3497,,43,50,0,8071.1,8071.1,0,1.68489E+12,
b842a32f73d,1.68513E+12,"{""latitude"":58.721480306386056,""longitude"":16.556076774409227}","{""latitude"":57.75239280734066,""longitude"":16.627638676446942}",17328.74589,,43,50,0,8774.1,8774.1,0,1.68513E+12,
3f970971aea,1.68512E+12,"{""latitude"":58.82291575574128,""longitude"":12.912072278897305}","{""latitude"":60.05832664201244,""longitude"":13.110490506438806}",17335.31587,,43,50,0,10789,10789,0,1.68512E+12,
6130889bfc2,1.68492E+12,"{""latitude"":59.83687151782783,""longitude"":17.806314457925126}","{""latitude"":58.91054800441252,""longitude"":16.81723797301644}",17935.38818,,43,50,0,10089.4,10089.4,0,1.68493E+12,
23189c220b1,1.68451E+12,"{""latitude"":57.504134543129915,""longitude"":14.725457017292868}","{""latitude"":57.141006200280444,""longitude"":12.586328884744372}",18009.222,,43,50,54.48131236,13136.31682,12087.95994,58.33060173,1.68451E+12,
53567bcb00a,1.68512E+12,"{""latitude"":57.667361127482295,""longitude"":13.470074898503894}","{""latitude"":58.93518491399954,""longitude"":13.570576165606457}",18054.52548,,43,50,38.42087398,12157.13354,12157.13354,38.42087398,1.68513E+12,
798d0a3b967,1.68454E+12,"{""latitude"":60.50803718822962,""longitude"":17.925174859217606}","{""latitude"":59.49479862325933,""longitude"":17.469814569245084}",18066.79951,,43,50,0,10034.9,10034.9,0,1.68454E+12,
